lemma,form,tag,translation_ru,translation_en
шаммери,шамм,"pst_i,imp_o","бросать, кидать",throw (v.)
# щибери,щи,"pst_i,imp_o,final_aggr",веять,winnow
бекьери,екь,"pst_i,imp_o,initial_aggr",сеять,sow
бещери,ещ,"pst_i,imp_o,initial_aggr",ткать,"weave, plait"
биччери,ичч,"pst_i,imp_o,initial_aggr",ловить (мяч),catch (ball)
букъери,укъ,"pst_i,imp_o,initial_aggr","резать, кроить",
бухери,ух,"pst_i,imp_o,initial_aggr",снимать (одежду),remove (clothes)
веццихъери,еццихъ,"pst_i,imp_o,initial_aggr",хвалить,
гьашкIишери,гьашкIиш,"pst_i,imp_u","качаться, шевелиться (о растении)","rock (v, intr, of plant)"
бухери,ух,"pst_i,initial_aggr",восходить (о солнце),rise (of sun)
вахунери,ахун,"pst_i,initial_aggr","жить, существовать","live, exist"
векIуъери,екIуъ,"pst_i,initial_aggr",плакать,
велIери,елI,"pst_i,initial_aggr",ходить,
вуххери,ухх,"pst_i,initial_aggr",разводиться,
вучIери,учI,"pst_i,initial_aggr",просыпаться,wake up
абчери,абч,pst_o,"мыть (посуду), стирать","wash (dishes), wash (laundry)"
авчери,авч,pst_o,мыться,bathe (v.)
бахери,бах,pst_o,лаять,bark (v.)
вахери,вах,pst_o,драться,
гъулгъушери,гъулгъуш,pst_o,рычать,roar
гьаъери,гьаъм,pst_o,видеть,see
гьонкIочIери,гьонкIочI,pst_o,хотеть пить,be thirsty
зунзушери,зунзуш,pst_o,жужжать,buzz
маъушери,маъуш,pst_o,мяукать,
мяъушери,мяъуш,pst_o,мяукать,
пунхъишери,пунхъиш,pst_o,брызгать,
роквери,рок{В},pst_o,жать (убирать зерновые),"reap (v, crops)"
рохвери,рох{В},pst_o,причесываться,comb (v. intr.)
руцIери,руцI,pst_o,"таять (о льде, снеге)","melt (of ice, snow, intr)"
уᵸъуᵸшери,уᵸъуᵸш,pst_o,кукарекать,crow
хIихIишери,хIихIиш,pst_o,ржать,
хъурщишери,хъурщиш,pst_o,ползти (о человеке),"crawl (v, of person)"
хьавдери,хьавд,pst_o,шипеть,hiss
цIатери,цIат,pst_o,"гореть, жечь",
чIирчIишери,чIирчIиш,pst_o,дрожать,
чолтери,чолт,pst_o,быть голодным,be hungry
вучIери,учI,"pst_o,ablaut",умереть,die
гьанъохвери,гьанъох{В},"pst_o,imp_u",потеть,perspire
байчери,айч,"pst_o,initial_aggr","развязывать (узел, веревку)","untie (knot, rope)"
бершери,ерш,"pst_o,initial_aggr",менять,
бихъвери,ихъ{В},"pst_o,initial_aggr","резать, зарезать, забить (скотину)","cut, slaughter (cattle)"
буцIери,уцI,"pst_o,initial_aggr",таять,
бушери,уш,"pst_o,initial_aggr","красить, рисовать краской, мазать","paint, smear"
зархвери,зарх{В},pst_u,мерзнуть (о человеке),freeze (of human)
шанохвери,шанох{В},pst_u,гнить,
багвери,аг{В},"pst_u,imp_o,initial_aggr",считать,
букIери,укI,"pst_u,initial_aggr",ронять,drop (vb)
букквери,укк{В},"pst_u,initial_aggr",падать,fall
вукквери,укк{В},"pst_u,initial_aggr",падать,fall
вутIери,утI,"pst_u,initial_aggr",терять,
йигьвери,игь{В},"pst_u,initial_aggr",рожать,bear (v. child)
